timestamp,username,source_ip,event_type,service
2025-08-07 05:35:49,user056,192.168.1.16,login_success,web
2025-08-07 05:35:57,user117,192.168.1.10,login_success,web
2025-08-07 05:35:59,user104,192.168.2.15,login_success,web
2025-08-07 05:36:11,user041,192.168.3.27,login_success,ssh
2025-08-07 05:36:13,user092,192.168.1.36,login_success,web
2025-08-07 05:36:25,user016,192.168.3.35,login_success,rdp
2025-08-07 05:36:30,user108,192.168.4.11,login_success,web
2025-08-07 05:36:37,user050,192.168.4.43,login_success,ssh
2025-08-07 05:36:43,user008,192.168.3.46,login_success,web
2025-08-07 05:36:44,user026,192.168.1.46,login_failure,ssh
2025-08-07 05:37:16,user085,192.168.3.18,login_success,rdp
2025-08-07 05:37:23,user020,192.168.1.39,login_success,web
2025-08-07 05:37:31,user090,192.168.2.29,login_success,web
2025-08-07 05:37:31,user119,192.168.1.18,login_failure,ssh
2025-08-07 05:38:17,user094,192.168.2.40,login_failure,ssh
2025-08-07 05:38:30,user113,192.168.1.20,login_success,web
2025-08-07 05:38:31,user024,192.168.2.20,login_success,rdp
2025-08-07 05:39:16,user101,192.168.2.45,login_success,ssh
2025-08-07 05:39:21,user096,192.168.3.45,login_success,rdp
2025-08-07 05:39:21,user002,192.168.4.39,login_success,rdp
2025-08-07 05:39:22,user062,192.168.2.35,login_success,ssh
2025-08-07 05:39:38,backup_svc,192.168.3.42,login_success,rdp
2025-08-07 05:39:38,user105,192.168.3.17,login_success,ssh
2025-08-07 05:39:41,user116,192.168.1.22,login_success,ssh
2025-08-07 05:39:49,user001,192.168.3.25,login_success,rdp
2025-08-07 05:39:53,user056,192.168.3.19,login_success,rdp
2025-08-07 05:40:02,user105,192.168.3.15,login_failure,web
2025-08-07 05:40:19,backup_svc,192.168.2.19,login_success,web
2025-08-07 05:40:23,user131,192.168.4.22,login_success,rdp
2025-08-07 05:40:34,user046,192.168.1.29,login_success,ssh
2025-08-07 05:40:43,user133,192.168.1.21,login_failure,rdp
2025-08-07 05:40:46,user132,192.168.3.18,login_success,web
2025-08-07 05:40:47,user113,192.168.4.46,login_success,ssh
2025-08-07 05:40:53,user071,192.168.3.45,login_failure,rdp
2025-08-07 05:40:53,user149,192.168.2.28,login_success,rdp
2025-08-07 05:41:08,db_service,192.168.3.13,login_success,rdp
2025-08-07 05:41:10,user017,192.168.3.42,login_success,web
2025-08-07 05:41:19,user061,192.168.1.27,login_success,web
2025-08-07 05:41:24,user108,192.168.3.19,login_success,rdp
2025-08-07 05:41:40,user110,192.168.1.24,login_success,ssh
2025-08-07 05:41:46,user047,192.168.3.16,login_success,ssh
2025-08-07 05:41:49,user105,192.168.2.34,login_failure,rdp
2025-08-07 05:42:04,user104,192.168.1.26,login_success,rdp
2025-08-07 05:42:22,user043,192.168.2.17,login_failure,web
2025-08-07 05:42:25,user042,192.168.4.14,login_failure,web
2025-08-07 05:42:26,user025,192.168.3.34,login_success,web
2025-08-07 05:42:28,user126,192.168.4.25,login_success,web
2025-08-07 05:42:35,user026,192.168.1.13,login_success,web
2025-08-07 05:42:53,user031,192.168.2.27,login_success,rdp
2025-08-07 05:43:04,user102,192.168.3.23,login_failure,rdp
2025-08-07 05:43:05,user125,192.168.3.10,login_failure,rdp
2025-08-07 05:43:08,user121,192.168.4.15,login_success,web
2025-08-07 05:43:29,user021,192.168.1.13,login_success,rdp
2025-08-07 05:43:32,user084,192.168.4.46,login_success,ssh
2025-08-07 05:43:37,user037,192.168.2.25,login_failure,rdp
2025-08-07 05:43:40,user116,192.168.4.36,login_success,web
2025-08-07 05:43:42,user046,192.168.2.34,login_failure,rdp
2025-08-07 05:43:44,user027,192.168.4.42,login_success,ssh
2025-08-07 05:44:01,user045,192.168.2.31,login_success,ssh
2025-08-07 05:44:06,user138,192.168.3.27,login_success,ssh
2025-08-07 05:44:11,user049,192.168.4.15,login_failure,web
2025-08-07 05:44:51,user111,192.168.4.33,login_success,rdp
2025-08-07 05:45:04,user106,192.168.4.34,login_success,rdp
2025-08-07 05:45:17,user073,192.168.1.48,login_success,web
2025-08-07 05:45:22,user017,192.168.3.46,login_success,rdp
2025-08-07 05:45:30,user023,192.168.2.33,login_success,ssh
2025-08-07 05:45:44,user039,192.168.4.46,login_success,ssh
2025-08-07 05:45:55,user005,192.168.3.39,login_success,web
2025-08-07 05:45:58,user003,192.168.4.11,login_failure,web
2025-08-07 05:46:03,user103,192.168.1.31,login_success,ssh
2025-08-07 05:46:05,user122,192.168.1.21,login_failure,ssh
2025-08-07 05:46:18,user080,192.168.3.28,login_failure,ssh
2025-08-07 05:46:51,user076,192.168.2.24,login_success,web
2025-08-07 05:46:55,user018,192.168.1.16,login_success,web
2025-08-07 05:47:03,user104,192.168.2.48,login_success,ssh
2025-08-07 05:47:06,user106,192.168.3.12,login_success,rdp
2025-08-07 05:47:17,user147,192.168.3.43,login_success,ssh
2025-08-07 05:47:36,user132,192.168.1.24,login_failure,ssh
2025-08-07 05:47:42,user129,192.168.1.12,login_failure,web
2025-08-07 05:47:53,user123,192.168.2.18,login_failure,rdp
2025-08-07 05:48:05,monitoring_svc,192.168.2.17,login_success,web
2025-08-07 05:48:16,user134,192.168.4.44,login_success,ssh
2025-08-07 05:48:22,user067,192.168.4.14,login_failure,web
2025-08-07 05:48:25,user145,192.168.1.47,login_failure,rdp
2025-08-07 05:48:25,user077,192.168.2.24,login_failure,rdp
2025-08-07 05:48:28,user025,192.168.1.42,login_success,web
2025-08-07 05:48:33,user130,192.168.3.30,login_success,rdp
2025-08-07 05:48:35,user142,192.168.3.46,login_success,ssh
2025-08-07 05:48:52,user060,192.168.3.41,login_success,ssh
2025-08-07 05:48:58,user128,192.168.2.46,login_failure,ssh
2025-08-07 05:49:09,user063,192.168.4.13,login_failure,rdp
2025-08-07 05:49:11,user025,192.168.4.12,login_success,web
2025-08-07 05:49:16,user006,192.168.4.36,login_success,ssh
2025-08-07 05:49:37,user034,192.168.3.36,login_success,web
2025-08-07 05:49:50,user071,192.168.2.22,login_failure,ssh
2025-08-07 05:49:51,user072,192.168.1.35,login_success,rdp
2025-08-07 05:49:54,user111,192.168.4.12,login_success,ssh
2025-08-07 05:49:58,user125,192.168.4.33,login_success,rdp
2025-08-07 05:50:03,user138,192.168.1.11,login_success,web
2025-08-07 05:50:04,user132,192.168.2.45,login_success,rdp
2025-08-07 05:50:04,user092,192.168.4.48,login_success,web
2025-08-07 05:50:11,user084,192.168.3.20,login_success,ssh
2025-08-07 05:50:17,user137,192.168.3.40,login_success,web
2025-08-07 05:50:32,user028,192.168.2.36,login_success,rdp
2025-08-07 05:50:39,user089,192.168.2.36,login_success,ssh
2025-08-07 05:51:00,user115,192.168.3.36,login_success,rdp
2025-08-07 05:51:14,user070,192.168.4.30,login_success,ssh
2025-08-07 05:51:23,user075,192.168.2.25,login_success,web
2025-08-07 05:51:29,user140,192.168.3.46,login_success,rdp
2025-08-07 05:51:31,user138,192.168.4.35,login_success,rdp
2025-08-07 05:51:35,user050,192.168.3.20,login_failure,web
2025-08-07 05:51:45,user092,192.168.4.20,login_success,ssh
2025-08-07 05:52:09,user002,192.168.4.22,login_failure,rdp
2025-08-07 05:52:20,user088,192.168.2.37,login_success,ssh
2025-08-07 05:52:23,user091,192.168.2.40,login_success,web
2025-08-07 05:52:27,user032,192.168.3.43,login_success,web
2025-08-07 05:52:40,user091,192.168.1.13,login_success,rdp
2025-08-07 05:52:47,user031,192.168.2.15,login_success,web
2025-08-07 05:52:54,user101,192.168.1.20,login_failure,rdp
2025-08-07 05:53:00,user076,192.168.3.35,login_success,ssh
2025-08-07 05:53:07,user092,192.168.2.13,login_failure,rdp
2025-08-07 05:53:17,user133,192.168.2.27,login_success,web
2025-08-07 05:53:20,user083,192.168.3.48,login_success,rdp
2025-08-07 05:53:33,user001,192.168.2.22,login_success,rdp
2025-08-07 05:54:15,user132,192.168.1.32,login_failure,web
2025-08-07 05:54:21,user066,192.168.1.15,login_success,ssh
2025-08-07 05:54:48,user088,192.168.1.22,login_success,ssh
2025-08-07 05:54:49,user140,192.168.4.29,login_success,rdp
